Gemeente;Provincie
Almelo                             ;Overijssel               
Veere                              ;Zeeland                  
Coevorden                          ;Drenthe                  
Aalsmeer                           ;Noord-Holland            
Haarlemmermeer                     ;Noord-Holland            
Zaltbommel                         ;Gelderland               
Noardeast-Fryslân                  ;Fryslân                  
Aalten                             ;Gelderland               
Nieuwkoop                          ;Zuid-Holland             
Assen                              ;Drenthe                  
Sluis                              ;Zeeland                  
Alphen aan den Rijn                ;Zuid-Holland             
Laarbeek                           ;Noord-Brabant            
Opmeer                             ;Noord-Holland            
Súdwest-Fryslân                    ;Fryslân                  
Medemblik                          ;Noord-Holland            
Nissewaard                         ;Zuid-Holland             
Haarlemmermeer                     ;Noord-Holland            
De Ronde Venen                     ;Utrecht                  
Waadhoeke                          ;Fryslân                  
Barneveld                          ;Gelderland               
Leusden                            ;Utrecht                  
Goeree-Overflakkee                 ;Zuid-Holland             
Zundert                            ;Noord-Brabant            
West Betuwe                        ;Gelderland               
Het Hogeland                       ;Groningen                
Westerkwartier                     ;Groningen                
Bloemendaal                        ;Noord-Holland            
Zevenaar                           ;Gelderland               
Druten                             ;Gelderland               
Bergen (L.)                        ;Limburg                  
Dinkelland                         ;Overijssel               
Castricum                          ;Noord-Holland            
Heerenveen                         ;Fryslân                  
De Fryske Marren                   ;Fryslân                  
Tubbergen                          ;Overijssel               
Alblasserdam                       ;Zuid-Holland             
Leeuwarden                         ;Fryslân                  
Heerenveen                         ;Fryslân                  
Tytsjerksteradiel                  ;Fryslân                  
Maasdriel                          ;Gelderland               
Alkmaar                            ;Noord-Holland            
Súdwest-Fryslân                    ;Fryslân                  
Almelo                             ;Overijssel               
Lochem                             ;Gelderland               
Almere                             ;Flevoland                
Altena                             ;Noord-Brabant            
West Maas en Waal                  ;Gelderland               
Alphen-Chaam                       ;Noord-Brabant            
Alphen aan den Rijn                ;Zuid-Holland             
Noordenveld                        ;Drenthe                  
Stadskanaal                        ;Groningen                
De Wolden                          ;Drenthe                  
Hoogeveen                          ;Drenthe                  
West Maas en Waal                  ;Gelderland               
Hof van Twente                     ;Overijssel               
Vijfheerenlanden                   ;Utrecht                  
Aa en Hunze                        ;Drenthe                  
Horst aan de Maas                  ;Limburg                  
Utrechtse Heuvelrug                ;Utrecht                  
Amersfoort                         ;Utrecht                  
Krimpenerwaard                     ;Zuid-Holland             
Maasdriel                          ;Gelderland               
De Ronde Venen                     ;Utrecht                  
Amstelveen                         ;Noord-Holland            
Beekdaelen                         ;Limburg                  
Amsterdam                          ;Noord-Holland            
Ouder-Amstel                       ;Noord-Holland            
Altena                             ;Noord-Brabant            
Het Hogeland                       ;Groningen                
Overbetuwe                         ;Gelderland               
Aa en Hunze                        ;Drenthe                  
Medemblik                          ;Noord-Holland            
Hardenberg                         ;Overijssel               
Hardenberg                         ;Overijssel               
Hardenberg                         ;Overijssel               
Lingewaard                         ;Gelderland               
Zevenaar                           ;Gelderland               
Noardeast-Fryslân                  ;Fryslân                  
Wijdemeren                         ;Noord-Holland            
Aa en Hunze                        ;Drenthe                  
Hollands Kroon                     ;Noord-Holland            
Aa en Hunze                        ;Drenthe                  
Aa en Hunze                        ;Drenthe                  
Westerveld                         ;Drenthe                  
De Wolden                          ;Drenthe                  
Westerwolde                        ;Groningen                
Apeldoorn                          ;Gelderland               
Westerwolde                        ;Groningen                
Ooststellingwerf                   ;Fryslân                  
West Maas en Waal                  ;Gelderland               
Appingedam                         ;Groningen                
Venlo                              ;Limburg                  
Molenlanden                        ;Zuid-Holland             
Middelburg                         ;Zeeland                  
Arnhem                             ;Gelderland               
Ommen                              ;Overijssel               
Súdwest-Fryslân                    ;Fryslân                  
Buren                              ;Gelderland               
West Betuwe                        ;Gelderland               
Assen                              ;Drenthe                  
Zaanstad                           ;Noord-Holland            
Asten                              ;Noord-Brabant            
Noardeast-Fryslân                  ;Fryslân                  
Achtkarspelen                      ;Fryslân                  
Zeist                              ;Utrecht                  
Koggenland                         ;Noord-Holland            
Terneuzen                          ;Zeeland                  
Montferland                        ;Gelderland               
Terschelling                       ;Fryslân                  
Waadhoeke                          ;Fryslân                  
Bronckhorst                        ;Gelderland               
De Ronde Venen                     ;Utrecht                  
Leeuwarden                         ;Fryslân                  
Borsele                            ;Zeeland                  
Baarle-Nassau                      ;Noord-Brabant            
Peel en Maas                       ;Limburg                  
Steenwijkerland                    ;Overijssel               
Baarn                              ;Utrecht                  
Steenwijkerland                    ;Overijssel               
Zevenaar                           ;Gelderland               
Altena                             ;Noord-Brabant            
Oldambt                            ;Groningen                
Haarlemmermeer                     ;Noord-Holland            
Leudal                             ;Limburg                  
Het Hogeland                       ;Groningen                
Gemert-Bakel                       ;Noord-Brabant            
De Fryske Marren                   ;Fryslân                  
Opsterland                         ;Fryslân                  
Wijchen                            ;Gelderland               
Midden-Drenthe                     ;Drenthe                  
De Fryske Marren                   ;Fryslân                  
Hardenberg                         ;Overijssel               
Aa en Hunze                        ;Drenthe                  
Aa en Hunze                        ;Drenthe                  
Ameland                            ;Fryslân                  
Simpelveld                         ;Limburg                  
Eijsden-Margraten                  ;Limburg                  
Noordoostpolder                    ;Flevoland                
